x,Re=100,Re=400,Re=1000 ,Re=3200,Re=5000,Re=7500,Re=10000
1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.96880,-0.05906,-0.12146,-0.21388,-0.39017,-0.49774,-0.53858,-0.54302
0.96090,-0.07391,-0.15633,-0.27669,-0.47425,-0.55069,-0.55016,-0.52987
0.95310,-0.08664,-0.19254,-0.33714,-0.52357,-0.55408,-0.52347,-0.49099
0.94530,-0.10313,-0.22947,-0.39188,-0.54053,-0.52876,-0.48590,-0.45863
0.90630,-0.16914,-0.23827,-0.51550,-0.44307,-0.41442,-0.41050,-0.41496
0.85940,-0.22445,-0.44993,-0.41665,-0.37401,-0.36214,-0.36213,-0.36737
0.80470,-0.24533,-0.38598,-0.31966,-0.31184,-0.30018,-0.30448,-0.30719
0.50000,0.05454,0.05186,0.02526,0.00999,0.00945,0.00824,0.00831
0.23440,0.17527,0.30174,0.32235,0.28188,0.27280,0.27348,0.27224
0.22660,0.17507,0.30203,0.33075,0.29030,0.28066,0.28117,0.28003
0.15630,0.16077,0.28124,0.37095,0.37119,0.35368,0.35060,0.35070
0.09380,0.12317,0.22965,0.32627,0.42768,0.42951,0.41824,0.41487
0.07810,0.10890,0.20920,0.30353,0.41906,0.43648,0.43564,0.43124
0.07030,0.10091,0.19713,0.29012,0.40917,0.43329,0.44030,0.43733
0.06250,0.09233,0.18360,0.27485,0.39560,0.42447,0.43979,0.43983
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
